epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,7791,0.79748,0.60727,1.07066,0.955,0.95701,0.97407,0.82254,0.59425,0.41937,0.9443,0.000976293,0.000976293,0.000976293
18,8247.77,0.78383,0.58412,1.05781,0.96709,0.95738,0.97897,0.83531,0.56479,0.39955,0.92806,0.000947999,0.000947999,0.000947999
19,8704.79,0.7918,0.58565,1.06095,0.96044,0.96818,0.97941,0.83294,0.5561,0.39402,0.92497,0.000919704,0.000919704,0.000919704
20,9161.63,0.76364,0.57169,1.04684,0.96446,0.95761,0.98091,0.83504,0.57561,0.38587,0.92798,0.00089141,0.00089141,0.00089141
21,9618.82,0.75555,0.56623,1.0408,0.96047,0.96202,0.98193,0.84877,0.53742,0.3722,0.9156,0.000863116,0.000863116,0.000863116
22,10075.4,0.74884,0.55608,1.04377,0.95466,0.9621,0.97806,0.84084,0.54435,0.37185,0.91893,0.000834822,0.000834822,0.000834822
23,10532.6,0.74603,0.54838,1.04215,0.96675,0.95933,0.97668,0.84953,0.52665,0.36004,0.91791,0.000806528,0.000806528,0.000806528
24,10989.3,0.74237,0.55093,1.03366,0.96139,0.96664,0.98088,0.84681,0.53581,0.36342,0.90932,0.000778233,0.000778233,0.000778233
25,11446.3,0.73318,0.54553,1.03301,0.96209,0.96435,0.97922,0.8499,0.54045,0.36398,0.92519,0.000749939,0.000749939,0.000749939
26,11902.6,0.72327,0.53199,1.03127,0.97458,0.96576,0.98528,0.85691,0.52244,0.34416,0.90591,0.000721645,0.000721645,0.000721645
27,12361.1,0.72615,0.52342,1.0314,0.97095,0.96622,0.98399,0.86057,0.50457,0.34438,0.89421,0.000693351,0.000693351,0.000693351
28,12828.5,0.7195,0.51434,1.02464,0.95419,0.97225,0.98101,0.85421,0.53006,0.35465,0.91063,0.000665057,0.000665057,0.000665057
29,13304,0.70486,0.51521,1.02194,0.98115,0.96955,0.98412,0.86737,0.49274,0.33687,0.89433,0.000636762,0.000636762,0.000636762
30,13778.6,0.71098,0.50479,1.02113,0.96666,0.96878,0.98373,0.86663,0.49888,0.33184,0.90166,0.000608468,0.000608468,0.000608468
31,14266.5,0.7209,0.51823,1.03363,0.96909,0.96024,0.98432,0.86326,0.50536,0.33945,0.90379,0.000580174,0.000580174,0.000580174
32,14818.6,0.70161,0.50511,1.01481,0.96543,0.97098,0.98285,0.86464,0.49829,0.33129,0.89635,0.00055188,0.00055188,0.00055188
33,15348.7,0.69135,0.49992,1.00828,0.95977,0.97101,0.9828,0.86794,0.48849,0.32501,0.89731,0.000523586,0.000523586,0.000523586
34,15810.2,0.69826,0.50086,1.02157,0.96907,0.97019,0.9825,0.87213,0.48686,0.32072,0.89426,0.000495291,0.000495291,0.000495291
35,16271.9,0.68971,0.49843,1.01847,0.96602,0.96988,0.98371,0.87525,0.48309,0.32303,0.89375,0.000466997,0.000466997,0.000466997
36,16736.1,0.67969,0.487,1.01252,0.97553,0.96958,0.98522,0.8741,0.47813,0.31337,0.88991,0.000438703,0.000438703,0.000438703
37,17196.4,0.66816,0.46915,1.00992,0.97185,0.97218,0.98525,0.87711,0.47927,0.30746,0.89279,0.000410409,0.000410409,0.000410409
38,17658.4,0.68517,0.4816,1.01068,0.97225,0.97371,0.98505,0.87777,0.47226,0.30937,0.8827,0.000382115,0.000382115,0.000382115
39,18119.6,0.6718,0.47623,1.00651,0.97174,0.97231,0.98342,0.88316,0.46763,0.30455,0.88398,0.00035382,0.00035382,0.00035382
40,18581.1,0.67512,0.47355,1.00367,0.97528,0.9756,0.9877,0.88172,0.46508,0.29857,0.8843,0.000325526,0.000325526,0.000325526
41,19041.8,0.57952,0.37248,0.94374,0.97507,0.96995,0.9856,0.88166,0.46095,0.29865,0.88276,0.000297232,0.000297232,0.000297232
42,19523.5,0.55992,0.35484,0.93413,0.97316,0.97487,0.98565,0.88265,0.45763,0.29344,0.88183,0.000268938,0.000268938,0.000268938
43,19989.3,0.55484,0.35314,0.93083,0.97323,0.977,0.98541,0.88385,0.45392,0.29513,0.87618,0.000240644,0.000240644,0.000240644
44,20476.5,0.55013,0.34682,0.93052,0.97277,0.97646,0.98743,0.88795,0.4523,0.28831,0.87806,0.000212349,0.000212349,0.000212349
45,20952.8,0.54779,0.3475,0.92481,0.97654,0.97491,0.98733,0.88933,0.44923,0.28666,0.87773,0.000184055,0.000184055,0.000184055
46,21426,0.53815,0.33849,0.92087,0.97699,0.97456,0.98724,0.88801,0.45121,0.28528,0.87662,0.000155761,0.000155761,0.000155761
47,21890.1,0.53527,0.33607,0.92447,0.97796,0.9772,0.98742,0.89221,0.44373,0.28404,0.87338,0.000127467,0.000127467,0.000127467
48,22386.6,0.53109,0.32767,0.92283,0.97248,0.97605,0.98759,0.89047,0.44759,0.28311,0.87511,9.91726e-05,9.91726e-05,9.91726e-05
49,22855.9,0.52455,0.32523,0.91624,0.97762,0.9749,0.98715,0.89458,0.43706,0.27365,0.87218,7.08784e-05,7.08784e-05,7.08784e-05
50,23316,0.52294,0.32127,0.9157,0.97729,0.97413,0.98588,0.8939,0.43522,0.27404,0.87173,4.25842e-05,4.25842e-05,4.25842e-05
