epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,469.516,1.15461,1.95958,1.30997,0.84625,0.72043,0.84509,0.64227,0.83856,1.36806,1.09301,0.000472523,0.000472523,0.000472523
2,929.477,1.02462,1.12566,1.19695,0.88703,0.87209,0.93312,0.67517,0.86527,0.84116,1.11186,0.000930069,0.000930069,0.000930069
3,1388.9,1.03599,1.0228,1.20161,0.90806,0.86635,0.95034,0.69253,0.88234,0.73611,1.09285,0.00136875,0.00136875,0.00136875
4,1849.71,1.01345,0.93664,1.18529,0.87567,0.86752,0.93587,0.70031,0.81581,0.74447,1.07433,0.00134412,0.00134412,0.00134412
5,2306.75,0.97914,0.85649,1.16349,0.92451,0.91782,0.96618,0.74888,0.73822,0.58026,1.03557,0.00131582,0.00131582,0.00131582
6,2763.94,0.94815,0.80074,1.14494,0.9303,0.92521,0.96509,0.7585,0.70085,0.55439,0.99648,0.00128753,0.00128753,0.00128753
7,3220.77,0.92569,0.75899,1.14409,0.93286,0.91826,0.96412,0.76367,0.7103,0.52832,1.0114,0.00125923,0.00125923,0.00125923
8,3677.8,0.91149,0.73949,1.12729,0.92384,0.90016,0.95262,0.73212,0.77223,0.60083,1.02378,0.00123094,0.00123094,0.00123094
9,4135.22,0.87603,0.69428,1.11208,0.94395,0.95231,0.97462,0.78297,0.66018,0.49212,0.97439,0.00120265,0.00120265,0.00120265
10,4592.84,0.87523,0.70657,1.10949,0.93287,0.95096,0.97438,0.79717,0.64235,0.47069,0.96027,0.00117435,0.00117435,0.00117435
11,5052.07,0.83995,0.64705,1.08227,0.91593,0.90774,0.95335,0.73708,0.7787,0.56233,1.04133,0.00114606,0.00114606,0.00114606
12,5508.09,0.83049,0.64766,1.08824,0.85729,0.77472,0.86285,0.62312,1.02434,0.91744,1.22827,0.00111776,0.00111776,0.00111776
13,5964.5,0.82826,0.63719,1.07983,0.95668,0.9621,0.98147,0.81993,0.59797,0.41745,0.94989,0.00108947,0.00108947,0.00108947
14,6421.91,0.81583,0.61862,1.07143,0.956,0.95204,0.98091,0.81901,0.60433,0.42037,0.94477,0.00106118,0.00106118,0.00106118
15,6877.92,0.80973,0.61904,1.07211,0.9591,0.95189,0.97616,0.80821,0.62425,0.42544,0.95804,0.00103288,0.00103288,0.00103288
16,7335.14,0.79468,0.60016,1.06483,0.96879,0.96342,0.98147,0.81948,0.60022,0.40982,0.94186,0.00100459,0.00100459,0.00100459
